person_id,domain_name,url_host,url_dir,url_page,url_refer_host,calendar_day,URL
306647623,qq.com,v.qq.com,x,webtips,qq.com,01/11/2016,v.qq.com/x/webtips
388234030,youku.com,iku.youku.com,onlineconfig,3rdlist,,01/11/2016,iku.youku.com/onlineconfig/3rdlist
306647623,qq.com,v.qq.com,x/cover/oec2q88w9c3p3qn,e0341g9mqmc.html,,01/11/2016,v.qq.com/x/cover/oec2q88w9c3p3qn/e0341g9mqmc.html
388234030,youku.com,iku.youku.com,onlineconfig,config1,,01/11/2016,iku.youku.com/onlineconfig/config1
306647623,qq.com,v.qq.com,x,cgibaike,qq.com,01/11/2016,v.qq.com/x/cgibaike
388234030,youku.com,desktop.youku.com,/,/,,01/11/2016,desktop.youku.com////
306647623,iqiyi.com,www.iqiyi.com,/,/,,01/11/2016,www.iqiyi.com////
129407203,pptv.com,news.pptv.com,/,/,,01/11/2016,news.pptv.com////
306647623,iqiyi.com,www.iqiyi.com,/,v_19rr971860.html,iqiyi.com,01/11/2016,www.iqiyi.com///v_19rr971860.html
129407203,mgtv.com,www.mgtv.com,v/2016/ynj3,/,,01/11/2016,www.mgtv.com/v/2016/ynj3//
306647623,iqiyi.com,www.iqiyi.com,/,/,iqiyi.com,01/11/2016,www.iqiyi.com////
129407203,fun.tv,www.fun.tv,vplay,g-301195.v-812970,fun.tv,01/11/2016,www.fun.tv/vplay/g-301195.v-812970
129786023,fun.tv,www.fun.tv,/,/,fun.tv,01/11/2016,www.fun.tv////
129407203,6.cn,shrek.6.cn,live.6.cn/e6u2,rp.php,6.cn,01/11/2016,shrek.6.cn/live.6.cn/e6u2/rp.php
393534971,qq.com,v.qq.com,txyp,coralComment_yp_1.0.htm,qq.com,01/11/2016,v.qq.com/txyp/coralComment_yp_1.0.htm
126770610,iqiyi.com,uaa.iqiyi.com,/,who,,01/11/2016,uaa.iqiyi.com///who
393534971,qq.com,v.qq.com,x/cover/4mz2zy4nxjjqqbp,j0020ok8e8p.html,1lawer.com,01/11/2016,v.qq.com/x/cover/4mz2zy4nxjjqqbp/j0020ok8e8p.html
126770610,iqiyi.com,pdata.video.iqiyi.com,/,k,,01/11/2016,pdata.video.iqiyi.com///k
393534971,pptv.com,news.pptv.com,/,/,,01/11/2016,news.pptv.com////
372166521,youku.com,tongxuehui.youku.com,upload,forum.php,youku.com,01/11/2016,tongxuehui.youku.com/upload/forum.php
393534971,pptv.com,movie.pptv.com,/,/,,01/11/2016,movie.pptv.com////
372166521,youku.com,tongxuehui.youku.com,upload,misc.php,youku.com,01/11/2016,tongxuehui.youku.com/upload/misc.php
393534971,pptv.com,travel.pptv.com,/,/,,01/11/2016,travel.pptv.com////
372166521,youku.com,tongxuehui.youku.com,upload,portal.php,,01/11/2016,tongxuehui.youku.com/upload/portal.php
393534971,pptv.com,live.pptv.com,/,/,,01/11/2016,live.pptv.com////
384163570,163.com,so.v.163.com,video,getvideoinfo.htm,163.com,01/11/2016,so.v.163.com/video/getvideoinfo.htm
393534971,pptv.com,zongyi.pptv.com,/,/,,01/11/2016,zongyi.pptv.com////
129654136,youku.com,desktop.youku.com,update,get_network_info.php,,01/11/2016,desktop.youku.com/update/get_network_info.php
393534971,pptv.com,cartoon.pptv.com,/,/,,01/11/2016,cartoon.pptv.com////
129654136,youku.com,desktop.youku.com,/,/,,01/11/2016,desktop.youku.com////
393534971,mgtv.com,www.mgtv.com,v/2016/hjdsh,/,,01/11/2016,www.mgtv.com/v/2016/hjdsh//
129654136,youku.com,iku.youku.com,filter,97,,01/11/2016,iku.youku.com/filter/97
393534971,mgtv.com,www.mgtv.com,v/1/298050,/,,01/11/2016,www.mgtv.com/v/1/298050//
129654136,youku.com,iku.youku.com,onlineconfig,channel-pay-texts,,01/11/2016,iku.youku.com/onlineconfig/channel-pay-texts
393534971,mgtv.com,www.mgtv.com,v/1/18,/,,01/11/2016,www.mgtv.com/v/1/18//
129654136,youku.com,iku.youku.com,onlineconfig,activity,,01/11/2016,iku.youku.com/onlineconfig/activity
393534971,mgtv.com,www.mgtv.com,v/1/290349,index.html,mgtv.com,01/11/2016,www.mgtv.com/v/1/290349/index.html
129654136,youku.com,iku.youku.com,onlineconfig,3rdlist,,01/11/2016,iku.youku.com/onlineconfig/3rdlist
393534971,funshion.com,flavium.funshion.com,popup,install_number,,01/11/2016,flavium.funshion.com/popup/install_number
129654136,youku.com,iku.youku.com,filter,85,,01/11/2016,iku.youku.com/filter/85
393534971,funshion.com,flavium.funshion.com,popup,popup,,01/11/2016,flavium.funshion.com/popup/popup
129654136,youku.com,iku.youku.com,filter,100,,01/11/2016,iku.youku.com/filter/100
393534971,funshion.com,fld.funshion.com,instant,install_number,,01/11/2016,fld.funshion.com/instant/install_number
129654136,youku.com,iku.youku.com,onlineconfig,faxian,,01/11/2016,iku.youku.com/onlineconfig/faxian
393534971,funshion.com,neirong.funshion.com,airport/lua,inst.php,,01/11/2016,neirong.funshion.com/airport/lua/inst.php
129654136,youku.com,iku.youku.com,onlineconfig,jftask,,01/11/2016,iku.youku.com/onlineconfig/jftask
393534971,fun.tv,fs.fun.tv,/,/,funshion.com,01/11/2016,fs.fun.tv////
129654136,youku.com,iku.youku.com,onlineconfig,app-guide-texts,,01/11/2016,iku.youku.com/onlineconfig/app-guide-texts
393534971,fun.tv,www.fun.tv,vplay,g-202508.v-642250,fun.tv,01/11/2016,www.fun.tv/vplay/g-202508.v-642250
129654136,youku.com,iku.youku.com,filter,96,,01/11/2016,iku.youku.com/filter/96
393534971,fun.tv,www.fun.tv,/,/,fun.tv,01/11/2016,www.fun.tv////
129654136,youku.com,iku.youku.com,filter,95,,01/11/2016,iku.youku.com/filter/95
393534971,fun.tv,www.fun.tv,vplay,g-117756.v-490569,fun.tv,01/11/2016,www.fun.tv/vplay/g-117756.v-490569
129654136,youku.com,iku.youku.com,onlineconfig,fankui,,01/11/2016,iku.youku.com/onlineconfig/fankui
393534971,fun.tv,www.fun.tv,/,download,,01/11/2016,www.fun.tv///download
129654136,letv.com,client.pc.letv.com,catch,popad,,01/11/2016,client.pc.letv.com/catch/popad
393534971,fun.tv,www.fun.tv,vplay,g-305647.v-849121,fun.tv,01/11/2016,www.fun.tv/vplay/g-305647.v-849121
376096710,le.com,www.le.com,ptv/vplay,25735623.html,le.com,01/11/2016,www.le.com/ptv/vplay/25735623.html
